"Time (UTCG)","Effective Area (m^2)","Solar Intensity"
1 Jul 2024 00:46:20.000,0.006978,1.000000
1 Jul 2024 00:46:30.000,0.011402,1.000000
1 Jul 2024 00:46:40.000,0.007553,1.000000
1 Jul 2024 00:46:50.000,0.002584,1.000000
1 Jul 2024 00:47:00.000,0.012011,1.000000
1 Jul 2024 00:47:10.000,0.017585,1.000000
1 Jul 2024 00:47:20.000,0.023908,1.000000
1 Jul 2024 00:47:30.000,0.018611,1.000000
1 Jul 2024 00:47:40.000,0.005913,1.000000
1 Jul 2024 00:47:50.000,0.009836,1.000000
1 Jul 2024 00:48:00.000,0.010749,1.000000
1 Jul 2024 00:48:10.000,0.003902,1.000000
1 Jul 2024 00:48:20.000,0.006800,1.000000
1 Jul 2024 00:48:30.000,0.015061,1.000000
1 Jul 2024 00:48:40.000,0.021487,1.000000
1 Jul 2024 00:48:50.000,0.023104,1.000000
1 Jul 2024 00:49:00.000,0.012986,1.000000
1 Jul 2024 00:49:10.000,0.006421,1.000000
1 Jul 2024 00:49:20.000,0.011276,1.000000
1 Jul 2024 00:49:30.000,0.008585,1.000000
1 Jul 2024 00:49:40.000,0.001186,1.000000
1 Jul 2024 00:49:50.000,0.010819,1.000000
1 Jul 2024 00:50:00.000,0.017147,1.000000
1 Jul 2024 00:50:10.000,0.023656,1.000000
1 Jul 2024 00:50:20.000,0.020064,1.000000
1 Jul 2024 00:50:30.000,0.006095,1.000000
1 Jul 2024 00:50:40.000,0.009032,1.000000
1 Jul 2024 00:50:50.000,0.011141,1.000000
1 Jul 2024 00:51:00.000,0.005203,1.000000
1 Jul 2024 00:51:10.000,0.005361,1.000000
1 Jul 2024 00:51:20.000,0.014147,1.000000
1 Jul 2024 00:51:30.000,0.020313,1.000000
1 Jul 2024 00:51:40.000,0.023607,1.000000
1 Jul 2024 00:51:50.000,0.015033,1.000000
1 Jul 2024 00:52:00.000,0.006451,1.000000
1 Jul 2024 00:52:10.000,0.010980,1.000000
1 Jul 2024 00:52:20.000,0.009468,1.000000
1 Jul 2024 00:52:30.000,0.000953,1.000000
1 Jul 2024 00:52:40.000,0.009517,1.000000
1 Jul 2024 00:52:50.000,0.016593,1.000000
1 Jul 2024 00:53:00.000,0.023161,1.000000
1 Jul 2024 00:53:10.000,0.021293,1.000000
1 Jul 2024 00:53:20.000,0.008484,1.000000
1 Jul 2024 00:53:30.000,0.008060,1.000000
1 Jul 2024 00:53:40.000,0.011362,1.000000
1 Jul 2024 00:53:50.000,0.006396,1.000000
1 Jul 2024 00:54:00.000,0.003976,1.000000
1 Jul 2024 00:54:10.000,0.013125,1.000000
1 Jul 2024 00:54:20.000,0.018935,1.000000
1 Jul 2024 00:54:30.000,0.023897,1.000000
1 Jul 2024 00:54:40.000,0.016901,1.000000
1 Jul 2024 00:54:50.000,0.006301,1.000000
1 Jul 2024 00:55:00.000,0.010497,1.000000
1 Jul 2024 00:55:10.000,0.010183,1.000000
1 Jul 2024 00:55:20.000,0.002468,1.000000
1 Jul 2024 00:55:30.000,0.008176,1.000000
1 Jul 2024 00:55:40.000,0.015855,1.000000
1 Jul 2024 00:55:50.000,0.022399,1.000000
1 Jul 2024 00:56:00.000,0.022326,1.000000
1 Jul 2024 00:56:10.000,0.010792,1.000000
1 Jul 2024 00:56:20.000,0.006978,1.000000
1 Jul 2024 00:56:30.000,0.011405,1.000000
1 Jul 2024 00:56:40.000,0.007552,1.000000
1 Jul 2024 00:56:50.000,0.002584,1.000000
1 Jul 2024 00:57:00.000,0.012011,1.000000
1 Jul 2024 00:57:10.000,0.017589,1.000000
1 Jul 2024 00:57:20.000,0.023911,1.000000
1 Jul 2024 00:57:30.000,0.018602,1.000000
1 Jul 2024 00:57:40.000,0.005912,1.000000
1 Jul 2024 00:57:50.000,0.009841,1.000000
1 Jul 2024 00:58:00.000,0.010751,1.000000
1 Jul 2024 00:58:10.000,0.003899,1.000000
1 Jul 2024 00:58:20.000,0.006792,1.000000
1 Jul 2024 00:58:30.000,0.015065,1.000000
1 Jul 2024 00:58:40.000,0.021491,1.000000
1 Jul 2024 00:58:50.000,0.023106,1.000000
1 Jul 2024 00:59:00.000,0.012981,1.000000
1 Jul 2024 00:59:10.000,0.006420,1.000000
1 Jul 2024 00:59:20.000,0.011278,1.000000
1 Jul 2024 00:59:30.000,0.008583,1.000000
1 Jul 2024 00:59:40.000,0.001188,1.000000
1 Jul 2024 00:59:50.000,0.010817,1.000000
1 Jul 2024 01:00:00.000,0.017150,1.000000
1 Jul 2024 01:00:10.000,0.023658,1.000000
1 Jul 2024 01:00:20.000,0.020063,1.000000
1 Jul 2024 01:00:30.000,0.006094,1.000000
1 Jul 2024 01:00:40.000,0.009034,1.000000
1 Jul 2024 01:00:50.000,0.011141,1.000000
1 Jul 2024 01:01:00.000,0.005198,1.000000
1 Jul 2024 01:01:10.000,0.005367,1.000000
1 Jul 2024 01:01:20.000,0.014145,1.000000
1 Jul 2024 01:01:30.000,0.020316,1.000000
1 Jul 2024 01:01:40.000,0.023612,1.000000
1 Jul 2024 01:01:50.000,0.015030,1.000000
1 Jul 2024 01:02:00.000,0.006449,1.000000
1 Jul 2024 01:02:10.000,0.010982,1.000000
1 Jul 2024 01:02:20.000,0.009465,1.000000
1 Jul 2024 01:02:30.000,0.000950,1.000000
1 Jul 2024 01:02:40.000,0.009518,1.000000
1 Jul 2024 01:02:50.000,0.016591,1.000000
1 Jul 2024 01:03:00.000,0.023164,1.000000
1 Jul 2024 01:03:10.000,0.021285,1.000000
1 Jul 2024 01:03:20.000,0.008479,1.000000
1 Jul 2024 01:03:30.000,0.008059,1.000000
1 Jul 2024 01:03:40.000,0.011363,1.000000
1 Jul 2024 01:03:50.000,0.006395,1.000000
1 Jul 2024 01:04:00.000,0.003974,1.000000
1 Jul 2024 01:04:10.000,0.013126,1.000000
1 Jul 2024 01:04:20.000,0.018944,1.000000
1 Jul 2024 01:04:30.000,0.023896,1.000000
1 Jul 2024 01:04:40.000,0.016895,1.000000
1 Jul 2024 01:04:50.000,0.006301,1.000000
1 Jul 2024 01:05:00.000,0.010497,1.000000
1 Jul 2024 01:05:10.000,0.010181,1.000000
1 Jul 2024 01:05:20.000,0.002467,1.000000
1 Jul 2024 01:05:30.000,0.008178,1.000000
1 Jul 2024 01:05:40.000,0.015856,1.000000
1 Jul 2024 01:05:50.000,0.022401,1.000000
1 Jul 2024 01:06:00.000,0.022323,1.000000
1 Jul 2024 01:06:10.000,0.010790,1.000000
1 Jul 2024 01:06:20.000,0.006978,1.000000
1 Jul 2024 01:06:30.000,0.011405,1.000000
1 Jul 2024 01:06:40.000,0.007551,1.000000
1 Jul 2024 01:06:50.000,0.002589,1.000000
1 Jul 2024 01:07:00.000,0.012016,1.000000
1 Jul 2024 01:07:10.000,0.017591,1.000000
1 Jul 2024 01:07:20.000,0.023907,1.000000
1 Jul 2024 01:07:30.000,0.018601,1.000000
1 Jul 2024 01:07:40.000,0.005916,1.000000
